9546321555	452-XLY	2	70.82	550
9546321555	742-6Z3	30	10.14	514
5612971340	924-YUT	8	23.00	512
3051234567	9L3-11T	14	50.12	520
7542346622	453-TTT	92	25.25	510
3054432762	213-ABC	15	105.02	508
9544321011	321-XMZ	112	32.41	519
8776219988	444-SSS	10	12.12	586
9042224556	290-P23	297	9.62	611
7877176590	23Z-00Q	32	9.62	532
5617278899	893-42T	642	0.81	556
9546321555	008-LL5	90	45.80	573
5612971340	452-XLY	42	99.99	515
3051234567	742-6Z3	14	10.41	541
7542346622	742-6Z4	13	66.48	507
3054432762	742-6Z5	209	0.77	5033
9544321011	742-6Z6	108	1.17	501
8776219988	213-ABC	67	105.02	621
9042224556	321-XMZ	31	32.41	519
7877176590	444-SSS	43	12.12	586
5617278899	290-P23	16	9.92	544
8776219988	23Z-00Q	82	9.62	519
9042224556	23Z-00Q	87	9.62	519
7877176590	23Z-00Q	445	9.75	581
